text,true_emotion,predicted_emotion
Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv,sadness,anger
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,anger
Season 3 and Charlie is still a prick! #lost,sadness,anger
Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,sadness
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
It feel like we lost a family member🙄😂,sadness,joy
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,joy
Common app just randomly logged me out as I was writing the last part of my college essay and lost all of it 😭😭😭,sadness,sadness
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
"@Eeevah14 don't I know it, try not to fret my sweet little pupper",sadness,sadness
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,joy
It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,sadness,joy
@trashcami this cured my depression,sadness,joy
